Name	input_file	simulation_n	quant_method	tally_method	NumReads	truth
Mus_musculus_mito_tRNA-Arg-TCG-1	quantMtRNAseq_Cerebellum_tRNA_1	5	bowtie2	mapq10	0.0	11753
Mus_musculus_mito_tRNA-Arg-TCG-1	quantMtRNAseq_Cerebellum_tRNA_1	6	bowtie2	mapq10	0.0	1723
Mus_musculus_mito_tRNA-Arg-TCG-1	quantMtRNAseq_Cerebellum_tRNA_1	7	bowtie2	mapq10	0.0	13
Mus_musculus_mito_tRNA-Arg-TCG-1	quantMtRNAseq_Cerebellum_tRNA_1	8	bowtie2	mapq10	0.0	3
Mus_musculus_mito_tRNA-Arg-TCG-1	quantMtRNAseq_Cerebellum_tRNA_1	9	bowtie2	mapq10	0.0	785
Mus_musculus_mito_tRNA-Arg-TCG-1	quantMtRNAseq_Cerebellum_tRNA_2	0	bowtie2	mapq10	0.0	0
Mus_musculus_mito_tRNA-Arg-TCG-1	quantMtRNAseq_Cerebellum_tRNA_2	1	bowtie2	mapq10	0.0	0
Mus_musculus_mito_tRNA-Arg-TCG-1	quantMtRNAseq_Cerebellum_tRNA_2	2	bowtie2	mapq10	0.0	0
Mus_musculus_mito_tRNA-Arg-TCG-1	quantMtRNAseq_Cerebellum_tRNA_2	3	bowtie2	mapq10	0.0	1
Mus_musculus_mito_tRNA-Arg-TCG-1	quantMtRNAseq_Cerebellum_tRNA_2	4	bowtie2	mapq10	0.0	12
Mus_musculus_mito_tRNA-Arg-TCG-1	quantMtRNAseq_Cerebellum_tRNA_2	5	bowtie2	mapq10	0.0	97
Mus_musculus_mito_tRNA-Arg-TCG-1	quantMtRNAseq_Cerebellum_tRNA_2	6	bowtie2	mapq10	0.0	152
Mus_musculus_mito_tRNA-Arg-TCG-1	quantMtRNAseq_Cerebellum_tRNA_2	7	bowtie2	mapq10	0.0	17
Mus_musculus_mito_tRNA-Arg-TCG-1	quantMtRNAseq_Cerebellum_tRNA_2	8	bowtie2	mapq10	0.0	1
Mus_musculus_mito_tRNA-Arg-TCG-1	quantMtRNAseq_Cerebellum_tRNA_2	9	bowtie2	mapq10	0.0	0
Mus_musculus_mito_tRNA-Arg-TCG-1	quantMtRNAseq_Cerebellum_tRNA_3	0	bowtie2	mapq10	0.0	1
Mus_musculus_mito_tRNA-Arg-TCG-1	quantMtRNAseq_Cerebellum_tRNA_3	1	bowtie2	mapq10	0.0	1
Mus_musculus_mito_tRNA-Arg-TCG-1	quantMtRNAseq_Cerebellum_tRNA_3	2	bowtie2	mapq10	0.0	7
Mus_musculus_mito_tRNA-Arg-TCG-1	quantMtRNAseq_Cerebellum_tRNA_3	3	bowtie2	mapq10	0.0	402
Mus_musculus_mito_tRNA-Arg-TCG-1	quantMtRNAseq_Cerebellum_tRNA_3	4	bowtie2	mapq10	0.0	6
