alignments	anticodons	agreement	count	input_file	simulation_n	quant_method
multiple	multiple	incorrect	28502	quantMtRNAseq_Cerebellum_tRNA_2	6	shrimp
single	single	correct	283228	quantMtRNAseq_Cerebellum_tRNA_2	6	shrimp
single	single	incorrect	695	quantMtRNAseq_Cerebellum_tRNA_2	6	shrimp
multiple	single	correct	264263	quantMtRNAseq_Cerebellum_tRNA_2	7	bowtie2
multiple	single	incorrect	159	quantMtRNAseq_Cerebellum_tRNA_2	7	bowtie2
multiple	multiple	incorrect	420022	quantMtRNAseq_Cerebellum_tRNA_2	7	bowtie2
single	single	incorrect	9849	quantMtRNAseq_Cerebellum_tRNA_2	7	bowtie2
single	single	correct	232014	quantMtRNAseq_Cerebellum_tRNA_2	7	bowtie2
multiple	single	correct	134528	quantMtRNAseq_Cerebellum_tRNA_2	7	shrimp
multiple	single	incorrect	22	quantMtRNAseq_Cerebellum_tRNA_2	7	shrimp
multiple	multiple	incorrect	4532	quantMtRNAseq_Cerebellum_tRNA_2	7	shrimp
single	single	incorrect	86	quantMtRNAseq_Cerebellum_tRNA_2	7	shrimp
single	single	correct	146175	quantMtRNAseq_Cerebellum_tRNA_2	7	shrimp
multiple	single	correct	381557	quantMtRNAseq_Cerebellum_tRNA_2	8	bowtie2
multiple	single	incorrect	1112	quantMtRNAseq_Cerebellum_tRNA_2	8	bowtie2
multiple	multiple	incorrect	199825	quantMtRNAseq_Cerebellum_tRNA_2	8	bowtie2
single	single	correct	401497	quantMtRNAseq_Cerebellum_tRNA_2	8	bowtie2
single	single	incorrect	2378	quantMtRNAseq_Cerebellum_tRNA_2	8	bowtie2
multiple	single	correct	336811	quantMtRNAseq_Cerebellum_tRNA_2	8	shrimp
multiple	single	incorrect	107	quantMtRNAseq_Cerebellum_tRNA_2	8	shrimp
multiple	multiple	incorrect	12092	quantMtRNAseq_Cerebellum_tRNA_2	8	shrimp
single	single	correct	330779	quantMtRNAseq_Cerebellum_tRNA_2	8	shrimp
single	single	incorrect	277	quantMtRNAseq_Cerebellum_tRNA_2	8	shrimp
single	single	correct	82351	quantMtRNAseq_Cerebellum_tRNA_2	9	bowtie2
single	single	incorrect	2418	quantMtRNAseq_Cerebellum_tRNA_2	9	bowtie2
multiple	single	correct	883677	quantMtRNAseq_Cerebellum_tRNA_2	9	bowtie2
multiple	single	incorrect	57	quantMtRNAseq_Cerebellum_tRNA_2	9	bowtie2
multiple	multiple	incorrect	8193	quantMtRNAseq_Cerebellum_tRNA_2	9	bowtie2
multiple	single	correct	325793	quantMtRNAseq_Cerebellum_tRNA_2	9	shrimp
multiple	single	incorrect	14	quantMtRNAseq_Cerebellum_tRNA_2	9	shrimp
multiple	multiple	incorrect	467	quantMtRNAseq_Cerebellum_tRNA_2	9	shrimp
single	single	correct	38561	quantMtRNAseq_Cerebellum_tRNA_2	9	shrimp
single	single	incorrect	82	quantMtRNAseq_Cerebellum_tRNA_2	9	shrimp
multiple	single	correct	458216	quantMtRNAseq_Cerebellum_tRNA_3	0	bowtie2
multiple	single	incorrect	229	quantMtRNAseq_Cerebellum_tRNA_3	0	bowtie2
multiple	multiple	incorrect	43162	quantMtRNAseq_Cerebellum_tRNA_3	0	bowtie2
single	single	correct	474732	quantMtRNAseq_Cerebellum_tRNA_3	0	bowtie2
single	single	incorrect	1202	quantMtRNAseq_Cerebellum_tRNA_3	0	bowtie2
multiple	single	correct	267210	quantMtRNAseq_Cerebellum_tRNA_3	0	shrimp
multiple	single	incorrect	101	quantMtRNAseq_Cerebellum_tRNA_3	0	shrimp
multiple	multiple	incorrect	7024	quantMtRNAseq_Cerebellum_tRNA_3	0	shrimp
single	single	correct	245560	quantMtRNAseq_Cerebellum_tRNA_3	0	shrimp
single	single	incorrect	126	quantMtRNAseq_Cerebellum_tRNA_3	0	shrimp
single	single	correct	7639	quantMtRNAseq_Cerebellum_tRNA_3	1	bowtie2
single	single	incorrect	2221	quantMtRNAseq_Cerebellum_tRNA_3	1	bowtie2
multiple	multiple	incorrect	690841	quantMtRNAseq_Cerebellum_tRNA_3	1	bowtie2
multiple	single	correct	266370	quantMtRNAseq_Cerebellum_tRNA_3	1	bowtie2
multiple	single	incorrect	48	quantMtRNAseq_Cerebellum_tRNA_3	1	bowtie2
multiple	single	correct	247697	quantMtRNAseq_Cerebellum_tRNA_3	1	shrimp
multiple	single	incorrect	4	quantMtRNAseq_Cerebellum_tRNA_3	1	shrimp
multiple	multiple	incorrect	94121	quantMtRNAseq_Cerebellum_tRNA_3	1	shrimp
single	single	correct	5165	quantMtRNAseq_Cerebellum_tRNA_3	1	shrimp
single	single	incorrect	142	quantMtRNAseq_Cerebellum_tRNA_3	1	shrimp
multiple	single	correct	652581	quantMtRNAseq_Cerebellum_tRNA_3	2	bowtie2
multiple	single	incorrect	582	quantMtRNAseq_Cerebellum_tRNA_3	2	bowtie2
multiple	multiple	incorrect	130138	quantMtRNAseq_Cerebellum_tRNA_3	2	bowtie2
single	single	correct	197898	quantMtRNAseq_Cerebellum_tRNA_3	2	bowtie2
single	single	incorrect	1919	quantMtRNAseq_Cerebellum_tRNA_3	2	bowtie2
multiple	single	correct	409079	quantMtRNAseq_Cerebellum_tRNA_3	2	shrimp
multiple	single	incorrect	229	quantMtRNAseq_Cerebellum_tRNA_3	2	shrimp
multiple	multiple	incorrect	8859	quantMtRNAseq_Cerebellum_tRNA_3	2	shrimp
single	single	correct	174788	quantMtRNAseq_Cerebellum_tRNA_3	2	shrimp
