Name	input_file	simulation_n	truth	NumReads	quant_method	tally_method
Mus_musculus_MTtRNA-Arg-TCG	quantMtRNAseq_Cortex_tRNA_2	8	0	0	mimseq	mimseq
Mus_musculus_MTtRNA-Arg-TCG	quantMtRNAseq_Cortex_tRNA_2	9	6	6	mimseq	mimseq
Mus_musculus_MTtRNA-Arg-TCG	quantMtRNAseq_Cortex_tRNA_3	0	21	20	mimseq	mimseq
Mus_musculus_MTtRNA-Arg-TCG	quantMtRNAseq_Cortex_tRNA_3	1	9	9	mimseq	mimseq
Mus_musculus_MTtRNA-Arg-TCG	quantMtRNAseq_Cortex_tRNA_3	2	284	282	mimseq	mimseq
Mus_musculus_MTtRNA-Arg-TCG	quantMtRNAseq_Cortex_tRNA_3	3	4	4	mimseq	mimseq
Mus_musculus_MTtRNA-Arg-TCG	quantMtRNAseq_Cortex_tRNA_3	4	0	0	mimseq	mimseq
Mus_musculus_MTtRNA-Arg-TCG	quantMtRNAseq_Cortex_tRNA_3	5	1701	1694	mimseq	mimseq
Mus_musculus_MTtRNA-Arg-TCG	quantMtRNAseq_Cortex_tRNA_3	6	1	1	mimseq	mimseq
Mus_musculus_MTtRNA-Arg-TCG	quantMtRNAseq_Cortex_tRNA_3	7	3099	3078	mimseq	mimseq
Mus_musculus_MTtRNA-Arg-TCG	quantMtRNAseq_Cortex_tRNA_3	8	13	13	mimseq	mimseq
Mus_musculus_MTtRNA-Arg-TCG	quantMtRNAseq_Cortex_tRNA_3	9	4	4	mimseq	mimseq
Mus_musculus_MTtRNA-Asn-GTT	quantMtRNAseq_Cerebellum_tRNA_1	0	36	33	mimseq	mimseq
Mus_musculus_MTtRNA-Asn-GTT	quantMtRNAseq_Cerebellum_tRNA_1	1	34	33	mimseq	mimseq
Mus_musculus_MTtRNA-Asn-GTT	quantMtRNAseq_Cerebellum_tRNA_1	2	0	0	mimseq	mimseq
Mus_musculus_MTtRNA-Asn-GTT	quantMtRNAseq_Cerebellum_tRNA_1	3	8914	8665	mimseq	mimseq
Mus_musculus_MTtRNA-Asn-GTT	quantMtRNAseq_Cerebellum_tRNA_1	4	1	1	mimseq	mimseq
Mus_musculus_MTtRNA-Asn-GTT	quantMtRNAseq_Cerebellum_tRNA_1	5	2	2	mimseq	mimseq
Mus_musculus_MTtRNA-Asn-GTT	quantMtRNAseq_Cerebellum_tRNA_1	6	408	398	mimseq	mimseq
Mus_musculus_MTtRNA-Asn-GTT	quantMtRNAseq_Cerebellum_tRNA_1	7	4351	4227	mimseq	mimseq
Mus_musculus_MTtRNA-Asn-GTT	quantMtRNAseq_Cerebellum_tRNA_1	8	6	6	mimseq	mimseq
Mus_musculus_MTtRNA-Asn-GTT	quantMtRNAseq_Cerebellum_tRNA_1	9	316	307	mimseq	mimseq
Mus_musculus_MTtRNA-Asn-GTT	quantMtRNAseq_Cerebellum_tRNA_2	0	1454	1429	mimseq	mimseq
Mus_musculus_MTtRNA-Asn-GTT	quantMtRNAseq_Cerebellum_tRNA_2	1	1	1	mimseq	mimseq
Mus_musculus_MTtRNA-Asn-GTT	quantMtRNAseq_Cerebellum_tRNA_2	2	2	2	mimseq	mimseq
Mus_musculus_MTtRNA-Asn-GTT	quantMtRNAseq_Cerebellum_tRNA_2	3	31	31	mimseq	mimseq
Mus_musculus_MTtRNA-Asn-GTT	quantMtRNAseq_Cerebellum_tRNA_2	4	0	0	mimseq	mimseq
Mus_musculus_MTtRNA-Asn-GTT	quantMtRNAseq_Cerebellum_tRNA_2	5	0	0	mimseq	mimseq
Mus_musculus_MTtRNA-Asn-GTT	quantMtRNAseq_Cerebellum_tRNA_2	6	272	271	mimseq	mimseq
Mus_musculus_MTtRNA-Asn-GTT	quantMtRNAseq_Cerebellum_tRNA_2	7	6324	6253	mimseq	mimseq
Mus_musculus_MTtRNA-Asn-GTT	quantMtRNAseq_Cerebellum_tRNA_2	8	233569	230537	mimseq	mimseq
Mus_musculus_MTtRNA-Asn-GTT	quantMtRNAseq_Cerebellum_tRNA_2	9	0	0	mimseq	mimseq
Mus_musculus_MTtRNA-Asn-GTT	quantMtRNAseq_Cerebellum_tRNA_3	0	6	6	mimseq	mimseq
Mus_musculus_MTtRNA-Asn-GTT	quantMtRNAseq_Cerebellum_tRNA_3	1	0	0	mimseq	mimseq
Mus_musculus_MTtRNA-Asn-GTT	quantMtRNAseq_Cerebellum_tRNA_3	2	144	141	mimseq	mimseq
Mus_musculus_MTtRNA-Asn-GTT	quantMtRNAseq_Cerebellum_tRNA_3	3	17	17	mimseq	mimseq
Mus_musculus_MTtRNA-Asn-GTT	quantMtRNAseq_Cerebellum_tRNA_3	4	0	0	mimseq	mimseq
Mus_musculus_MTtRNA-Asn-GTT	quantMtRNAseq_Cerebellum_tRNA_3	5	33	33	mimseq	mimseq
Mus_musculus_MTtRNA-Asn-GTT	quantMtRNAseq_Cerebellum_tRNA_3	6	0	0	mimseq	mimseq
Mus_musculus_MTtRNA-Asn-GTT	quantMtRNAseq_Cerebellum_tRNA_3	7	1	1	mimseq	mimseq
