Name	input_file	simulation_n	truth	NumReads	quant_method	tally_method
Homo_sapiens_MTtRNA-Ala-TGC	ALLtRNAseq_hESC_0_1	8	9	9	mimseq	mimseq
Homo_sapiens_MTtRNA-Ala-TGC	ALLtRNAseq_hESC_0_1	9	79	78	mimseq	mimseq
Homo_sapiens_MTtRNA-Ala-TGC	ALLtRNAseq_hESC_0_2	0	218	217	mimseq	mimseq
Homo_sapiens_MTtRNA-Ala-TGC	ALLtRNAseq_hESC_0_2	1	169	168	mimseq	mimseq
Homo_sapiens_MTtRNA-Ala-TGC	ALLtRNAseq_hESC_0_2	2	529	526	mimseq	mimseq
Homo_sapiens_MTtRNA-Ala-TGC	ALLtRNAseq_hESC_0_2	3	56770	56336	mimseq	mimseq
Homo_sapiens_MTtRNA-Ala-TGC	ALLtRNAseq_hESC_0_2	4	74	74	mimseq	mimseq
Homo_sapiens_MTtRNA-Ala-TGC	ALLtRNAseq_hESC_0_2	5	483	481	mimseq	mimseq
Homo_sapiens_MTtRNA-Ala-TGC	ALLtRNAseq_hESC_0_2	6	0	0	mimseq	mimseq
Homo_sapiens_MTtRNA-Ala-TGC	ALLtRNAseq_hESC_0_2	7	1275	1262	mimseq	mimseq
Homo_sapiens_MTtRNA-Ala-TGC	ALLtRNAseq_hESC_0_2	8	1	1	mimseq	mimseq
Homo_sapiens_MTtRNA-Ala-TGC	ALLtRNAseq_hESC_0_2	9	1	1	mimseq	mimseq
Homo_sapiens_MTtRNA-Ala-TGC	ALLtRNAseq_hESC_0_3	0	0	0	mimseq	mimseq
Homo_sapiens_MTtRNA-Ala-TGC	ALLtRNAseq_hESC_0_3	1	21	20	mimseq	mimseq
Homo_sapiens_MTtRNA-Ala-TGC	ALLtRNAseq_hESC_0_3	2	0	0	mimseq	mimseq
Homo_sapiens_MTtRNA-Ala-TGC	ALLtRNAseq_hESC_0_3	3	1	1	mimseq	mimseq
Homo_sapiens_MTtRNA-Ala-TGC	ALLtRNAseq_hESC_0_3	4	27	26	mimseq	mimseq
Homo_sapiens_MTtRNA-Ala-TGC	ALLtRNAseq_hESC_0_3	5	13	13	mimseq	mimseq
Homo_sapiens_MTtRNA-Ala-TGC	ALLtRNAseq_hESC_0_3	6	33414	33162	mimseq	mimseq
Homo_sapiens_MTtRNA-Ala-TGC	ALLtRNAseq_hESC_0_3	7	10	10	mimseq	mimseq
Homo_sapiens_MTtRNA-Ala-TGC	ALLtRNAseq_hESC_0_3	8	53	52	mimseq	mimseq
Homo_sapiens_MTtRNA-Ala-TGC	ALLtRNAseq_hESC_0_3	9	10	10	mimseq	mimseq
Homo_sapiens_MTtRNA-Ala-TGC	ALLtRNAseq_hESC_5_1	0	18	18	mimseq	mimseq
Homo_sapiens_MTtRNA-Ala-TGC	ALLtRNAseq_hESC_5_1	1	21	21	mimseq	mimseq
Homo_sapiens_MTtRNA-Ala-TGC	ALLtRNAseq_hESC_5_1	2	0	0	mimseq	mimseq
Homo_sapiens_MTtRNA-Ala-TGC	ALLtRNAseq_hESC_5_1	3	1	1	mimseq	mimseq
Homo_sapiens_MTtRNA-Ala-TGC	ALLtRNAseq_hESC_5_1	4	4	4	mimseq	mimseq
Homo_sapiens_MTtRNA-Ala-TGC	ALLtRNAseq_hESC_5_1	5	7	7	mimseq	mimseq
Homo_sapiens_MTtRNA-Ala-TGC	ALLtRNAseq_hESC_5_1	6	0	0	mimseq	mimseq
Homo_sapiens_MTtRNA-Ala-TGC	ALLtRNAseq_hESC_5_1	7	81	81	mimseq	mimseq
Homo_sapiens_MTtRNA-Ala-TGC	ALLtRNAseq_hESC_5_1	8	29	29	mimseq	mimseq
Homo_sapiens_MTtRNA-Ala-TGC	ALLtRNAseq_hESC_5_1	9	57	57	mimseq	mimseq
Homo_sapiens_MTtRNA-Ala-TGC	ALLtRNAseq_hESC_5_2	0	275	271	mimseq	mimseq
Homo_sapiens_MTtRNA-Ala-TGC	ALLtRNAseq_hESC_5_2	1	3	3	mimseq	mimseq
Homo_sapiens_MTtRNA-Ala-TGC	ALLtRNAseq_hESC_5_2	2	0	0	mimseq	mimseq
Homo_sapiens_MTtRNA-Ala-TGC	ALLtRNAseq_hESC_5_2	3	12	12	mimseq	mimseq
Homo_sapiens_MTtRNA-Ala-TGC	ALLtRNAseq_hESC_5_2	4	2769	2747	mimseq	mimseq
Homo_sapiens_MTtRNA-Ala-TGC	ALLtRNAseq_hESC_5_2	5	2	2	mimseq	mimseq
Homo_sapiens_MTtRNA-Ala-TGC	ALLtRNAseq_hESC_5_2	6	0	0	mimseq	mimseq
Homo_sapiens_MTtRNA-Ala-TGC	ALLtRNAseq_hESC_5_2	7	13	13	mimseq	mimseq
Homo_sapiens_MTtRNA-Ala-TGC	ALLtRNAseq_hESC_5_2	8	84	84	mimseq	mimseq
Homo_sapiens_MTtRNA-Ala-TGC	ALLtRNAseq_hESC_5_2	9	12	12	mimseq	mimseq
Homo_sapiens_MTtRNA-Ala-TGC	ALLtRNAseq_hESC_5_3	0	818	813	mimseq	mimseq
Homo_sapiens_MTtRNA-Ala-TGC	ALLtRNAseq_hESC_5_3	1	15	15	mimseq	mimseq
Homo_sapiens_MTtRNA-Ala-TGC	ALLtRNAseq_hESC_5_3	2	0	0	mimseq	mimseq
Homo_sapiens_MTtRNA-Ala-TGC	ALLtRNAseq_hESC_5_3	3	36	36	mimseq	mimseq
Homo_sapiens_MTtRNA-Ala-TGC	ALLtRNAseq_hESC_5_3	4	5	5	mimseq	mimseq
Homo_sapiens_MTtRNA-Ala-TGC	ALLtRNAseq_hESC_5_3	5	3	3	mimseq	mimseq
Homo_sapiens_MTtRNA-Ala-TGC	ALLtRNAseq_hESC_5_3	6	3	3	mimseq	mimseq
Homo_sapiens_MTtRNA-Ala-TGC	ALLtRNAseq_hESC_5_3	7	1	1	mimseq	mimseq
Homo_sapiens_MTtRNA-Ala-TGC	ALLtRNAseq_hESC_5_3	8	535	531	mimseq	mimseq
Homo_sapiens_MTtRNA-Ala-TGC	ALLtRNAseq_hESC_5_3	9	16	16	mimseq	mimseq
Homo_sapiens_MTtRNA-Arg-TCG	ALLtRNAseq_hESC_0_1	0	1	1	mimseq	mimseq
Homo_sapiens_MTtRNA-Arg-TCG	ALLtRNAseq_hESC_0_1	1	13	13	mimseq	mimseq
Homo_sapiens_MTtRNA-Arg-TCG	ALLtRNAseq_hESC_0_1	2	26	26	mimseq	mimseq
Homo_sapiens_MTtRNA-Arg-TCG	ALLtRNAseq_hESC_0_1	3	148	146	mimseq	mimseq
Homo_sapiens_MTtRNA-Arg-TCG	ALLtRNAseq_hESC_0_1	4	5	5	mimseq	mimseq
Homo_sapiens_MTtRNA-Arg-TCG	ALLtRNAseq_hESC_0_1	5	11	11	mimseq	mimseq
Homo_sapiens_MTtRNA-Arg-TCG	ALLtRNAseq_hESC_0_1	6	50	50	mimseq	mimseq
Homo_sapiens_MTtRNA-Arg-TCG	ALLtRNAseq_hESC_0_1	7	0	0	mimseq	mimseq
Homo_sapiens_MTtRNA-Arg-TCG	ALLtRNAseq_hESC_0_1	8	20	20	mimseq	mimseq
Homo_sapiens_MTtRNA-Arg-TCG	ALLtRNAseq_hESC_0_1	9	2	2	mimseq	mimseq
Homo_sapiens_MTtRNA-Arg-TCG	ALLtRNAseq_hESC_0_2	0	3	3	mimseq	mimseq
Homo_sapiens_MTtRNA-Arg-TCG	ALLtRNAseq_hESC_0_2	1	21	21	mimseq	mimseq
Homo_sapiens_MTtRNA-Arg-TCG	ALLtRNAseq_hESC_0_2	2	1	1	mimseq	mimseq
Homo_sapiens_MTtRNA-Arg-TCG	ALLtRNAseq_hESC_0_2	3	0	0	mimseq	mimseq
Homo_sapiens_MTtRNA-Arg-TCG	ALLtRNAseq_hESC_0_2	4	0	0	mimseq	mimseq
Homo_sapiens_MTtRNA-Arg-TCG	ALLtRNAseq_hESC_0_2	5	3	3	mimseq	mimseq
Homo_sapiens_MTtRNA-Arg-TCG	ALLtRNAseq_hESC_0_2	6	0	0	mimseq	mimseq
Homo_sapiens_MTtRNA-Arg-TCG	ALLtRNAseq_hESC_0_2	7	1	1	mimseq	mimseq
